gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
TNFSF11,0.9729777970910072,1.0,1,approved,P,Approved,,,0.604,1.13,1,0.829189,16.942644917954578,-6.3595875779713635,-0.9577292707114972,-7.498027965292155,-8.391078800758555,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LACC1,0.9723989146615044,0.999948723207876,2,non-target,unlabeled,,,,1.0,1.61,1,0.881881,32.72213123754908,0.9414104752668409,-1.597629446139155,2.0148027132073927,5.860152128536079,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL7R,0.9704773298980016,0.9998974464157522,3,non-target,unlabeled,,0.0076134653777243,0.0076134653777243,1.06,-1.81,1,0.966134,55.84170245758721,3.1278799336277414,-3.158482722870516,0.3121366320937668,-8.726958028707504,,0.0124808965868568,0.0528795811518324,0.0403986845649756,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1
NFKB1,0.9700252161342272,0.9998461696236284,4,non-target,unlabeled,,0.2369833526834024,0.2369833526834024,0.149,4.59,1,0.945454,-0.0375419505802625,1.212635580756572,-0.400793959790482,0.2450790198627761,6.091794680243052,0.9379723742507168,0.9498217014773306,0.9939790575916232,0.0560066833409064,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1
JAK1,0.9693678420782088,0.9997948928315044,5,approved,P,Approved,,,0.178,6.62,1,0.864422,,0.6566725379234792,-1.1585880316593695,2.7620230769850203,0.5429307816308244,,,,,,,,,,,,,,0
NFKBIA,0.9687884886457464,0.9997436160393806,6,non-target,unlabeled,,,,0.467,0.945,1,0.884652,28.72506397159999,0.908100612931568,2.2368363830577276,1.0931116409138784,3.899053861341356,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL10,0.9684818761864888,0.9996923392472566,7,non-target,unlabeled,,,,0.626,1.52,1,0.926833,59.11858621794556,-1.0853678973577052,1.034901293682136,0.7836899917970108,-1.800844751718959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TGFBR1,0.9658720290660858,0.9996410624551328,8,in trial,trial_heldout,Phase 2,,,0.527,3.99,1,0.506222,32.408154161155686,1.6105975607416323,-4.4677083084257685,-2.4252180938102836,-0.7048111238049846,,,,,0.0,0.0,1.0,,,,,,,0
STAT4,0.9653933937779536,0.9995897856630088,9,non-target,unlabeled,,,,0.492,3.66,1,0.831152,62.21317726774655,-0.4960466260930449,1.0783179313133544,-11.536067853057332,3.2007349635399973,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DKC1,0.9649700099322462,0.999538508870885,10,non-target,unlabeled,,,,0.196,4.95,1,0.0,55.428936803389,-0.3412911421206888,2.4749318255297044,-1.15005049077033,-1.811437738518999,,,,,0.0,1.0,0.0,,,,,,,0
TNFAIP3,0.9647038509749404,0.9994872320787612,11,non-target,unlabeled,,0.6554464044584937,0.6554464044584937,0.217,2.48,1,0.898337,75.39869014061792,1.1578868801200135,0.5074905071981031,2.0045875523354444,5.829710321918734,0.3377638780297107,0.5962812022414672,0.2293193717277487,0.3669618305137185,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
CTLA4,0.9643950062990188,0.9994359552866372,12,in trial,trial_heldout,Phase 2,,,0.381,2.38,1,0.971186,37.64170046444138,0.8608475094699787,-2.0667510723449847,0.0726739496609736,7.152128781430756,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFH,0.963737968279391,0.9993846784945134,13,non-target,unlabeled,,,,0.452,1.3,1,0.695938,25.484356224525087,2.949470934479318,-7.765820642058162,-14.023665665448066,-17.855351136768547,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL23R,0.9610659821131796,0.9993334017023896,14,non-target,unlabeled,,0.5696838547475881,0.5696838547475881,0.796,1.5,1,0.941376,21.09050400057151,1.170166095039148,-0.4856223336564998,2.825841262256682,2.359649530044406,0.2759968725566849,0.4607743250127356,0.5458115183246073,0.2698146457679223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CXCR2,0.960727219581604,0.9992821249102656,15,in trial,trial_heldout,Phase 3,,,1.72,1.99,1,0.871767,,0.4566708541473835,1.4217848710203962,-1.5388349913288797,2.3730555072417383,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
IL12B,0.9602416104078292,0.9992308481181418,16,approved,P,Approved,,,0.949,0.997,1,0.978083,,0.5317710421956617,-2.228212692793438,-3.3627907611864893,-3.31130903743542,,,,,,,,,,,,,,0
LYST,0.9595637123803704,0.999179571326018,17,non-target,unlabeled,,,,0.523,4.35,1,0.614238,62.8641881064205,0.4578585632421037,-2.1485400628995657,-4.489372822298765,6.419823803210679,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NOD2,0.9588875648926716,0.999128294533894,18,non-target,unlabeled,,,,1.13,0.545,1,0.913,13.420746361982069,1.5203677939521478,0.7860188986716012,-6.0360767602746055,2.6556779454689536,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NCF2,0.958820374061664,0.99907701774177,19,non-target,unlabeled,,,,0.814,1.86,1,0.896317,22.304989050904556,0.6009446648451051,-3.442939678877453,-3.445741186049744,0.4994374490269583,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SEC61A1,0.9576676297433596,0.999025740949646,20,non-target,unlabeled,,,,0.418,5.53,1,0.0,22.268924264310765,-1.5129413772668112,2.178196209005864,-8.402747957086698,-5.730430628504831,,,,,0.0,0.0,0.0,,,,,,,0
CD40,0.9552231147885324,0.9989744641575224,21,in trial,trial_heldout,Phase 2,,,0.724,2.03,1,0.961761,10.32928003579031,-0.2568489936610447,-1.856734878532022,1.1039300224696962,5.155847056396264,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
FASLG,0.9533214596184816,0.9989231873653984,22,non-target,unlabeled,,,,0.638,0.902,1,0.598495,69.72196603971504,1.3520320029868298,-6.509817387327059,-4.539286826919335,9.905965372541951,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SMAD3,0.9526211145596628,0.9988719105732744,23,non-target,unlabeled,,-0.1443416773609276,-0.1443416773609276,0.375,4.87,0,0.896627,69.42212673885462,0.3704786757253046,-0.9071105189593724,-3.1374634432036355,-17.297655270302236,0.8485796194943966,0.5787060621497707,0.887434554973822,0.3087284928240512,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,1
IL6R,0.9524774819612504,0.9988206337811506,24,approved,P,Approved,,,1.03,1.45,1,0.939475,15.404534007170955,-1.6946855120756852,0.4012716652156858,1.3873079253886285,1.980739025214808,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TNFRSF1A,0.9518363704585066,0.9987693569890268,25,non-target,unlabeled,,0.7622662488712875,0.7622662488712875,0.377,2.25,1,0.916408,10.248369225029364,3.734460998741824,-5.326837515458116,0.7031615616724589,2.4276211241801473,0.015897836851707,0.1258278145695364,0.0557591623036649,0.1099299777178294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ELOVL6,0.9517592000961304,0.9987180801969028,26,non-target,unlabeled,,,,0.455,4.73,0,0.0,27.2400508506253,1.9141795665377344,-6.9903600509081185,-10.506268595521712,-9.554965687684426,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TERT,0.9514032432436944,0.998666803404779,27,in trial,trial_heldout,Phase 3,,,0.522,5.41,1,0.720817,-8.50183140162636,0.0302083754856315,1.3543328059709487,1.1091662043758377,-6.11260740388872,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RORC,0.9512419889167864,0.9986155266126552,28,non-target,unlabeled,,,,0.321,3.32,1,0.727353,46.266238985948355,2.3599928475817658,-1.949783847254392,11.269247222430216,6.667728713900763,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CARD11,0.9506105864890898,0.9985642498205312,29,non-target,unlabeled,,0.3411856527586259,0.3411856527586259,0.366,4.09,1,0.752298,16.15177146129974,0.0343043230693599,-1.0817550387697217,-3.5148947456566244,-0.914341469568105,0.6512900703674745,0.6365257259296995,0.550261780104712,0.1010282902627625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1
ACTA2,0.9501629151063522,0.9985129730284074,30,non-target,unlabeled,,,,0.492,5.02,0,0.823945,45.21998410752616,1.2383033793536509,4.51161181369898,5.3191758207940545,5.631838732260951,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CXCR4,0.949730789065361,0.9984616962362834,31,approved,P,Approved,,,0.529,2.68,1,0.550107,82.60952015741616,2.616620915598352,1.3175153653713605,3.7082662940361577,5.573902001138449,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PLXNC1,0.9491889612241224,0.9984104194441596,32,non-target,unlabeled,,,,0.51,4.61,0,0.759259,41.46472146328592,1.230651537621392,1.860121957384803,-4.245225020307422,-4.288815039536134,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IFNGR2,0.9491851991415023,0.9983591426520356,33,approved,P,Approved,0.4959179421306225,0.4959179421306225,0.563,1.12,1,0.884264,27.80757450024093,-2.9817940791972832,5.221037317798262,3.4526906305571585,-3.7771687921957424,0.6278342455043002,0.0012735608762098,0.1272251308900523,0.6265606846280904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
FLNB,0.9480405659699926,0.9983078658599118,34,non-target,unlabeled,,,,0.519,4.2,0,0.532123,25.136897552715062,-1.7944554852634735,2.524716507129989,-5.814244780765917,-15.525198701498544,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOXP3,0.9471015201002208,0.998256589067788,35,non-target,unlabeled,,,,0.337,2.51,1,0.0,29.501719086813463,-3.469745940000112,1.7943912928208094,-5.454701661404323,11.503971013022593,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IFIH1,0.9464915878310496,0.998205312275664,36,non-target,unlabeled,,,,1.35,-1.46,1,0.873229,55.21873361115227,0.3815830626795828,-2.163066528839767,-5.692339330568156,9.809589881479228,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
KMT2D,0.94634255219479,0.9981540354835402,37,non-target,unlabeled,,,,0.134,5.39,1,0.0,,-0.0515962133230162,-1.4597713150711165,-4.213422496067343,-0.3969970714017055,,,,,,,,,,,,,,0
NCF1,0.9461289157672804,0.9981027586914164,38,non-target,unlabeled,,,,0.414,5.39,1,0.440947,-5.834666189485756,-3.920436988310057,4.468140947473844,-4.549272278095743,-2.1311501822858085,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FGFR1,0.9460550984740256,0.9980514818992924,39,approved,P,Approved,,,0.285,4.53,0,0.343323,32.247856958290704,-0.446044674011068,2.8417315493279256,-5.100108061865452,0.5782156601583861,,,,,0.0,0.0,0.0,,,,,,,0
IRF1,0.945882229153643,0.9980002051071684,40,non-target,unlabeled,,0.7234068385869289,0.7234068385869289,0.473,3.65,1,0.823494,30.152373586933223,-0.8799271033220175,-0.347436032072684,-0.8762059200656792,-0.9547638020832568,0.0010424811050299,0.0,0.000523560209424,0.0010424811050299,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1
RASGRP1,0.9458715768173488,0.9979489283150446,41,non-target,unlabeled,,0.072021218598663,0.072021218598663,0.512,3.49,1,0.839616,34.51549636689041,0.4343515683657636,-3.559870443127311,-3.532302647282059,-4.223278573113475,0.1600208496221005,0.0399898115129903,0.187958115183246,0.1479683036702557,0.0,1.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,1
PIK3R1,0.9458469432592392,0.9978976515229208,42,in trial,trial_heldout,Phase 2,,,0.403,3.99,1,0.531554,19.32324586306869,-1.112363116344066,1.0286349030623465,-3.087459803237829,-1.8832692822870067,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LYN,0.9451936557888984,0.9978463747307968,43,approved,P,Approved,,,0.299,4.16,1,0.397045,1.4378317145879955,2.240946188543493,-6.621417247654077,4.234614071664031,-4.662387471253275,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GFI1,0.9448707533366788,0.9977950979386728,44,non-target,unlabeled,,,,0.589,1.76,1,0.68781,31.564975860349353,-0.6525815675700704,1.1992876152838623,-6.511620672547797,-1.8037944974191105,0.3969246807401616,0.1981660723382577,0.0395287958115183,0.3573958849286432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CSF3R,0.944657357633114,0.997743821146549,45,approved,P,Approved,,,0.776,2.17,1,0.748006,,1.998917092153434,-0.6086502982251545,0.1423931927285798,5.184825207201921,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
MTHFD1,0.9430509100154956,0.9976925443544252,46,non-target,unlabeled,,0.35814190663931,0.35814190663931,0.513,3.29,1,0.036878,31.61516777648103,0.0037087633878804,2.825356730458846,-3.4772295684767403,-2.0148077763622134,0.4646859525671097,0.3558329088130412,0.2965968586387434,0.1680890939283663,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,1
RASGRF2,0.9424819713316592,0.9976412675623012,47,non-target,unlabeled,,,,0.609,4.49,0,0.0,24.380715010086032,2.214402123767481,-3.565461146686713,-8.32607908092217,-9.280638769782108,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL21,0.9405406817793848,0.9975899907701774,48,in trial,trial_heldout,Phase 2,0.3301897426777011,0.3301897426777011,0.421,1.81,1,0.739779,21.883706553519897,2.713276856277911,-1.7707167386217266,0.7221803470116863,-2.754432907037726,0.945009121709669,0.9500764136525726,0.7866492146596858,0.1634271989928867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
RUVBL1,0.940405680835247,0.9975387139780536,49,non-target,unlabeled,,,,0.175,4.9,0,0.248975,65.84032315129285,-0.1159050507899032,1.2894020865489977,-2.159118453085165,-2.24162516158332,,,,,0.0,0.0,1.0,,,,,,,0
SH2B3,0.9401892119646073,0.9974874371859296,50,non-target,unlabeled,,,,1.07,-1.74,1,0.974758,15.692187586458004,-2.00036315927742,0.6625612635085781,-5.90144030769156,4.864191980805429,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PRKCB,0.9396444252133368,0.9974361603938058,51,approved,P,Approved,,,0.254,5.29,0,0.849435,-8.021118391861535,2.261582696487802,-0.4795113226716712,-1.623965975047435,-3.249283309100673,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FYN,0.9384930276870728,0.997384883601682,52,approved,P,Approved,,,0.242,5.82,0,0.606754,28.06051421130331,0.9765113252319048,-4.489256468860497,-1.7865824343180072,5.815577787939923,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WDR1,0.9384660003754088,0.997333606809558,53,non-target,unlabeled,,,,0.42,1.91,1,0.501231,,-1.0421432044700691,-0.7718210887185515,-3.87626382723968,-9.623909640811698,,,,,,,,,,,,,,0
TLR3,0.9383831295371056,0.9972823300174342,54,in trial,trial_heldout,Phase 3,,,0.835,0.826,1,0.853735,,-0.4156144317283756,-1.7227947081646862,-2.5273981881084744,1.4259042656071648,,,,,,,,,,,,,,0
SATB1,0.9383779980358063,0.9972310532253102,55,non-target,unlabeled,,,,0.209,5.39,0,0.79803,36.99976598709904,2.0746684382890077,-0.1123777428903225,5.166614504579481,-3.3283205081468217,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TRAF3IP2,0.938189155459404,0.9971797764331864,56,approved,P,Approved,,,0.802,2.41,1,0.94343,-13.93689679489468,-0.3413672953879569,0.0851827787388982,0.816506738482099,-5.467107556901078,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL1R1,0.9374361804127692,0.9971284996410624,57,approved,P,Approved,,,0.626,2.74,1,0.71789,-0.2729290623399099,3.152052114034166,0.1214821261170545,15.51761313179133,1.9547088451061216,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
HELLS,0.9373701290816676,0.9970772228489384,58,non-target,unlabeled,,,,0.358,4.65,1,0.0,-3.116357944889465,0.2270564174325923,4.412611151122942,-3.3398998511844127,-7.419816429221453,0.8657805577273912,0.8183902190524707,0.4212041884816754,0.4445763692457157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NFATC2,0.9371785039853568,0.9970259460568148,59,non-target,unlabeled,,0.6160068264245818,0.6160068264245818,0.36,1.32,1,0.84501,9.903451000803438,0.4227018978424364,0.0010594189222187,2.290647693568604,1.665566590614497,0.90852228303362,0.8683138053998981,0.9657068062827224,0.0973930008828243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
C3,0.936993268430233,0.9969746692646908,60,in trial,trial_heldout,Phase 3,,,0.552,4.46,1,0.414059,,0.1395499209118719,1.2036378593889412,-3.4707728471555304,4.2927081167652945,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
DNASE1L3,0.9359014332294464,0.9969233924725668,61,non-target,unlabeled,,,,1.2,0.312,1,0.850725,,,,,,,,,,,,,,,,,,,0
TBX21,0.9352489992825672,0.996872115680443,62,non-target,unlabeled,,0.7342241683682129,0.7342241683682129,0.349,2.02,1,0.815022,31.924773371061875,3.1691167793579913,-6.921217868244968,-6.5275139819930486,0.843884296282955,0.0690643732082356,0.23841059602649,0.0489528795811518,0.1894577164453382,0.0,0.0,0.0,1.0,6.0,5.0,1.0,3.0,4.0,1
RAD51,0.9351665928735206,0.9968208388883192,63,non-target,unlabeled,,,,0.528,3.9,1,0.0,7.87929426779795,0.7409635867458575,-1.532110471872244,-1.958344352672412,-0.4478535084016546,,,,,0.0,0.0,0.0,,,,,,,0
ACTN1,0.9351429058815622,0.9967695620961952,64,non-target,unlabeled,,,,0.34,5.6,0,0.541407,67.22417770362904,-2.656489638003191,1.7493343142530091,-4.6773704963294955,1.7805415070823634,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
KIF21B,0.9346012411339912,0.9967182853040714,65,non-target,unlabeled,,,,0.528,4.36,0,0.603497,54.37136742685084,0.7272437009759647,-6.496700933047147,-3.4660173249361885,0.0665006946461181,,,,,0.0,1.0,0.0,,,,,,,0
JARID2,0.9345288906170396,0.9966670085119474,66,non-target,unlabeled,,,,0.241,3.55,0,0.70361,37.56202294214129,-2.5436417006756686,0.8070313436157616,-7.102443383136385,-1.505007546893601,,,,,0.0,1.0,0.0,,,,,,,0
IRF5,0.9344751994417172,0.9966157317198236,67,non-target,unlabeled,,,,0.613,2.65,0,0.856625,6.4469283071035335,0.638110743901859,-4.532942483885789,-5.944139414334207,9.893169417679726,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
POLR3A,0.932460732910098,0.9965644549276996,68,non-target,unlabeled,,,,0.858,3.66,1,0.0,,-0.2461503470073215,-0.3106614962426154,-3.0870265918924504,-1.3446038260275055,,,,,,,,,,,,,,0
CUL1,0.932252284553316,0.9965131781355758,69,non-target,unlabeled,,,,0.286,7.99,0,0.667618,,0.4052462193796895,1.6641969084223556,-2.8517989985270713,-4.743419386745357,,,,,,,,,,,,,,0
PDE8B,0.9319908261299134,0.996461901343452,70,in trial,trial_heldout,Phase 2,,,0.356,4.42,0,0.749302,,-1.6489154159337711,-2.7953914183911865,-4.810642797748645,-1.71711089843481,,,,,,,,,,,,,,0
TLR7,0.931351215839386,0.996410624551328,71,approved,P,Approved,,,0.508,3.74,1,0.042883,,-0.977353686564515,-0.5913885170670581,-4.94998594140748,4.788679828967998,,,,,,,,,,,,,,0
IL21R,0.931158689211826,0.9963593477592042,72,non-target,unlabeled,,0.5666789819089109,0.5666789819089109,0.53,1.53,1,0.747026,49.52400651924012,1.2094056233636032,3.111834335470699,5.998770114298597,3.34558151590853,0.0187646598905394,0.0145185939887926,0.0159685863874345,0.0042460659017467,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
COL1A2,0.930817011059547,0.9963080709670804,73,non-target,unlabeled,,,,0.357,3.84,0,0.0,,1.4253053307755046,-5.836333618140207,-9.524020014952493,10.551324716809685,,,,,,,,,,,,,,0
CASR,0.9302952906594204,0.9962567941749564,74,non-target,unlabeled,,,,0.471,5.0,0,0.563847,,1.59509957003457,-0.1059678564738393,11.413605911000326,8.16689621167342,,,,,,,,,,,,,,0
PDCD1,0.9301000264286996,0.9962055173828326,75,approved,P,Approved,,,0.719,1.81,1,0.665909,28.037383104384528,0.2793787888033491,-3.384051107972942,-1.5698552919286628,7.52961735900744,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
